Accession No,Primary Maker name only,Name Title,Brief Description,Media Materials,Measurement Reading Metric Imp Y display only,Department,Other Id,Collection,Current Location,Current Location Reason,Current Location Date,Current Owner,Acquisition Method,Acquisition Reason,Acquisition Date,Credit Line,Item Count
VUW.1966.1,Juliet Peter,Whitehall in Winter,,,,VUW Art,308397,,Music Building/Room 7,Temporary Exhibit,13-Aug-12,VICTORIA UNIVERSITY OF WELLINGTON,Purchase,Collection Policy,May-66,Victoria University of Wellington Art Collection,
VUW.1981.1,Andrea Daly,No Title (Table and Four Chairs),"Figurative - family seated at dining table, baby in highchair in foreground",,,VUW Art,308399,,Science Building/Room 13,Usual Location,9-Jun-05,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,21-Sep-81,Victoria University of Wellington  Art Collection,
VUW.1975.1,Phillip Luxton,Head of a Man (?Ira Frederick Aldridge),Construction - eye shape,,,VUW Art,308402,,Science Building/Room 39,Temporary Storage,21-Jan-14,VICTORIA UNIVERSITY OF WELLINGTON,Purchase,Collection Policy,23-Sep-75,Victoria University of Wellington  Art Collection,
VUW.1984.1,Sofia Minson,Dynamic Suprematism,Figurative - triptych (elderly man in all three panels),,,VUW Art,308403,,Art Building/Room 7,Temporary Exhibit,5-Jul-11,VICTORIA UNIVERSITY OF WELLINGTON,,Collection Policy,1984,Victoria University of Wellington Art Collection,
VUW.1962.1,Alfred Sharpe,South Bank Circle,Landscape - backdrop and foreground of hills with harbour in middle ground,,,VUW Art,308392,Victoria University of Wellington Art Collection,Science Building/Room 6,Temporary Storage,5-Nov-15,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,Jul-62,Victoria University of Wellington Art Collection,
VUW.1960.1,Fatu Feu'u,Self Portrait,Figurative - elderly woman sitting in chair,,,VUW Art,308404,,Science Building/Room 34,Temporary Storage,20-Jul-10,VICTORIA UNIVERSITY OF WELLINGTON,,,,Victoria University of Wellington Art Collection,
VUW.1983.2,John Pule,Self-Portrait with Badges,Landscape - coastal,,,VUW Art,308407,,Philosophy Building/Room 29,Temporary Exhibit,26-Jan-11,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,16-Aug-83,Victoria University of Wellington Art Collection,
VUW.1971.1,William Beetham,Untitled A,"Geometric abstraction - circular lattice - blue, green, yellow",,,VUW Art,308411,,Science Building/Room 14,Usual Location,25-Jan-04,,,,,Victoria University of Wellington  Art Collection,
VUW.1976.2,Tania Patterson,Curved Form (Trevalgan),Expressionist - bed,,,VUW Art,308408,,Science Building/Room 22,Temporary Storage,19-Nov-13,,,,,Victoria University of Wellington Art Collection,
VUW.1979.1,Tania Patterson,Still Life with Water Jug,Expressionist - fireplace,,,VUW Art,308409,Victoria University of Wellington Art Collection,Music Building/Room 17,Permanent Exhibit,14-Sep-11,,,,,Victoria University of Wellington Art Collection,
VUW.1987.1,Gretchen Albrecht,Man in Shower in Beverly Hills,"Figurative - man in red tent in foreground, yellow bird on tent, trees and hills in background",,,VUW Art,308412,,Philosophy Building/Room 26,Usual Location,9-Jun-05,,,,,Victoria University of Wellington Art Collection,
VUW.1978.1,Judy Millar,Fire! Fire!,"Figurative - square face set on white ground, with yellow and green fringes at top and bottom",,,VUW Art,308415,Victoria University of Wellington Art Collection,Music Building/Room 30,Temporary Exhibit,26-Jan-11,,,,,Victoria University of Wellington Art Collection,
VUW.1993.2,Judy Millar,Young Woman Holding a Black Cat,Simplified forms - sealife superimposed on square shapes,,,VUW Art,308416,Victoria University of Wellington Art Collection,Music Building/Room 40,Temporary Exhibit,29-Nov-12,,,,,Victoria University of Wellington Art Collection,
VUW.1993.3,Matthew McIntyre-Wilson,"Julie, Den Haag, Netherlands, February 29 1994","Abstracted cityscape - ladders, buildings, giant hands  Diptych",,,VUW Art,308417,,Music Building/Room 38,Usual Location,29-May-03,,,,,Victoria University of Wellington Art Collection,
VUW.1975.2,Suzanne Tamaki,The Last of England,Abstract - square veil of white dots on blue ground,,,VUW Art,308419,Victoria University of Wellington Art Collection,Philosophy Building/Room 41,Temporary Exhibit,16-Dec-10,,,,,Victoria University of Wellington Art Collection,
VUW.1965.1,Suzanne Tamaki,The Fairy Feller's Master-Stroke,Abstracted seascape - golden colours,,,VUW Art,308420,Victoria University of Wellington Art Collection,Art Building/Room 10,Temporary Exhibit,25-Jul-11,,,,,Victoria University of Wellington Art Collection,
VUW.1969.1,Guy Ngan,Abstract Painting (809-3),Geometric abstraction - red and yellow right angles  Relief construction,,,VUW Art,308421,,Philosophy Building/Room 13,Temporary Storage,16-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1994.1,Shona McFarlane,Performance Still,Figurative - three figures stand atop a plinth with friezes - black and white,,,VUW Art,308422,Victoria University of Wellington Art Collection,Philosophy Building/Room 25,Temporary Exhibit,28-Jul-11,,,,,Victoria University of Wellington Art Collection,
VUW.1994.2,Shona McFarlane,Insertions into Ideological Circuits: Coca-Cola Project,Figurative - six figures stand atop a plinth with friezes - black and white,,,VUW Art,308423,Victoria University of Wellington Art Collection,Music Building/Room 48,Temporary Exhibit,28-Jul-11,,,,,Victoria University of Wellington Art Collection,
VUW.1971.2,Shane Cotton,The History of the World,Geometric abstraction - blue and red stripes on black ground  Diptych,,,VUW Art,308424,,Art Building/Room 43,Permanent Exhibit,25-Jan-04,,,,,Victoria University of Wellington Art Collection,
VUW.1989.1,Pauline Bern,On the Balcony,"Landscape - building in foreground, seascape in background",,,VUW Art,308425,Victoria University of Wellington Art Collection,Art Building/Room 17,Temporary Storage,19-Nov-13,,,,,Victoria University of Wellington Art Collection,
VUW.1985.1,Shona Moller,The Scarlet Sunset,Abstract - title written on top and bottom edges,,,VUW Art,308426,Victoria University of Wellington Art Collection,Music Building/Room 15,Temporary Exhibit,19-Oct-15,,,,,Victoria University of Wellington Art Collection,
VUW.1999.1.1-92,Katherine Smyth,The Painter's Family,92 colour photographs of mathematical models,,,VUW Art,308603,Victoria University of Wellington Art Collection,Philosophy Building/Room 28,Temporary Storage,13-Aug-15,,,,,"Victoria University of Wellington Art Collection Commissioned on the occasion of the opening of the Adam Art Gallery, 1999",
VUW.1986.2,Karl Leonard,Nan one month after being battered,"Figurative - table in foreground with remains of birthday party and balloons.  Grandmother rear left, children playing rear right.",,,VUW Art,308427,Victoria University of Wellington Art Collection,Science Building/Room 26,Temporary Exhibit,12-Apr-13,,,,,Victoria University of Wellington Art Collection,
VUW.1994.3,Charles Blomfield,Bathers at Moritzburg,"Sculpture - carved wooden bowl with copper cable, pipe, sheeting, with hardwood plinth with copper edging",,,VUW Art,308428,Victoria University of Wellington Art Collection,Philosophy Building/Room 11,Renovation,17-Oct-07,,,,,Victoria University of Wellington Art Collection,
VUW.1988.1,Billy Apple,Untitled Painting,Landscape - line drawing of cloak floating above hilly landscape,,,VUW Art,308429,Victoria University of Wellington Art Collection,Philosophy Building/Room 23,Permanent Exhibit,19-Dec-11,,,,,Victoria University of Wellington Art Collection,
VUW.1986.3,Margaret Milne,Chatterton,"Wall relief in two parts - triangular shapes (pink, yellow, blue)",,,VUW Art,308430,,Music Building/Room 1,Temporary Storage,21-Mar-03,,,,,Victoria University of Wellington Art Collection,
VUW.1986.4,Emily Schuster,Sleeping Venus,"Figurative - four people in foreground, landscape in background",,,VUW Art,308431,Victoria University of Wellington Art Collection,Music Building/Room 36,Temporary Exhibit,16-Mar-12,,Dealer/Purchase,Collection Policy,28-Oct-86,Victoria University of Wellington Art Collection,
VUW.1991.2,Ralph Hotere,Saint Eulalia,"Abstract - impasto, predominantly brown with black paint flicked onto canvas",,,VUW Art,308432,,Science Building/Room 49,Temporary Storage,10-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1989.2,Len Lye,From the Freud Museum,"Figurative - central image of building, cars in top left corner, orange telephone in top right corner, man fixing car in bottom left corner, man standing in bottom right corner",,,VUW Art,308433,Victoria University of Wellington Art Collection,Art Building/Room 44,Temporary Storage,2-Sep-15,,,,,Victoria University of Wellington Art Collection,
VUW.1989.3,Len Lye,Dr Pepper,"Landscape - road through cutting in hills, buildings to right of road",,,VUW Art,308434,Victoria University of Wellington Art Collection,Art Building/Room 29,Usual Location,9-Nov-00,,,,,Victoria University of Wellington Art Collection,
VUW.1989.4,Richard Parker,0 through 9,"Wall relief - 18 part articulated construction.  Two paper backdrops were removed (one blue with bone-like images, one of Adam and Eve after Masolino)",,,VUW Art,308435,Victoria University of Wellington Art Collection,Music Building/Room 38,Permanent Exhibit,28-Feb-03,,,,,Victoria University of Wellington Art Collection,
VUW.1981.2,Juliet Peter,King Cophetua and the Beggar Maid,"Figurative and landscape - plaque celebrating the birthplace of Baron Rutherford in foreground, Mrs Rutherford putting out the washing, house and hills in background",,,VUW Art,308436,Victoria University of Wellington Art Collection,Music Building/Room 38,Temporary Exhibit,18-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1966.2,Toi Te Rito Maihi,Almanac,Abstracted landscape - predominantly brown tones,,,VUW Art,308437,,Philosophy Building/Room 6,Temporary Storage,28-Nov-13,,,,,Victoria University of Wellington Art Collection,
VUW.1993.4,Toi Te Rito Maihi,The Vale of the White Horse,Landscape - bird over landscape,,,VUW Art,308438,,Art Building/Room 29,Usual Location,19-Nov-03,,Donation,,1993,Victoria University of Wellington Art Collection,
VUW.1976.3,Charles Blomfield,Louise Bourgeois,Sculpture - carved kauri and totara in two pieces.  Maori symbols.,,,VUW Art,308571,,Science Building/Room 1,Temporary Exhibit,6-Mar-14,,,,,Victoria University of Wellington Art Collection,
VUW.1999.2,Peter Lange,King and Queen,"Sculpture - strips of aluminium on an ovoid shape creating an egg-like, zeppelin structure",,,Staff Club/VUW Art,308604,Victoria University of Wellington Art Collection,Science Building/Room 43,Deaccessioned,4-Feb-14,,,,,Victoria University of Wellington Staff Club Collection Commissioned 1999,
VUW.1981.3,Shona Moller,HOPE,Yellow moon seen between veiled curtains,,,VUW Art,308439,Victoria University of Wellington Art Collection,Music Building/Room 45,Temporary Storage,22-Dec-11,,,,,Victoria University of Wellington Art Collection,
VUW.1981.4,Christine Boswijk,The Minotaur,Figurative - abstracted human forms with kite-shape in top centre,,,VUW Art,308440,,Music Building/Room 3,Temporary Exhibit,1-Apr-14,,,,,Victoria University of Wellington Art Collection,
VUW.1970.1,Tao Wells,A Star Caresses the Breast of a Negress (Painting Poem),Landscape - dense foreground of green trees,,,VUW Art,308442,,Art Building/Room 35,Permanent Exhibit,10-Nov-09,,,,,Victoria University of Wellington Art Collection,
VUW.1964.2,Tao Wells,The Burning of the Houses of Parliament,Abstract - dark browns,,,VUW Art,308443,,Philosophy Building/Room 6,Temporary Exhibit,23-Sep-10,,,,,Victoria University of Wellington Art Collection,
VUW.1962.2,Tao Wells,Study for 'The Seaside',"Abstract - brown tones, long horizontal work",,,VUW Art,308444,,Art Building/Room 24,Usual Location,30-Jun-05,,,,,Victoria University of Wellington Art Collection,
VUW.1993.5,Joe Sheehan,The Beloved ('The Bride'),Textual - enlarged handwritten text on brown background,,,VUW Art,308441,,Music Building/Room 7,Temporary Exhibit,29-Oct-15,,,,,Victoria University of Wellington Art Collection,
VUW.1981.5,Warwick Freeman,Self-Portrait (Back with Arms Above),Conceptual - a sheet of corrugated iron nailed to a wooden lintel - white flicks of paint top and bottom.  IRON CURTAIN stencilled near bottom,,,VUW Art,308448,Victoria University of Wellington Art Collection,Science Building/Room 39,Temporary Exhibit,30-Jun-15,,,,,Victoria University of Wellington Art Collection,
VUW.1977.1,Warwick Freeman,Colonel Mordaunt's Cock Match,Performance artwork - hanging banner with text from the Song Cycle series - performed at Victoria University in 1975,,,VUW Art,308450,Victoria University of Wellington Art Collection,Music Building/Room 23,Temporary Exhibit,10-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1970.2,Warwick Freeman,The Plains of Heaven,Abstract - fine lines in various colours across entire surface,,,VUW Art,308449,Victoria University of Wellington Art Collection,Music Building/Room 23,Temporary Storage,28-Oct-15,,,,,Victoria University of Wellington Art Collection Gift of Douglas Lilburn,
VUW.1973.1,Michael Parekowhai,Hesitate,"Figurative - image of girl with long hair, etched or engraved into plate glass",,,VUW Art,308577,,Science Building/Room 3,Permanent Exhibit,17-Oct-07,,,,,Victoria University of Wellington Art Collection,
VUW.1987.2,Richard Killeen,Nataraja,"Geometric - large triangle in top half, supported by rectangular shapes",,,VUW Art,308452,,Music Building/Room 16,Temporary Exhibit,12-Nov-10,,,,,Victoria University of Wellington Art Collection,
VUW.1949.1,Ben Webb,Flight of the Magnolia,Interior - painting of a classroom interior with chemistry apparatus,,,VUW Art,308453,,Philosophy Building/Room 11,Usual Location,7-Nov-00,,,,,Victoria University of Wellington Art Collection Gift of Lady Easterfield,
VUW.1996.1,Roy Cowan,The Good and Evil Angels,"Landscape relief sculpture - recycled white plastic bottles 'threaded' onto fluorescent tube, forming a cross-section of a landscape",,340 x 1524mm (34 x 152.4cm),VUW Art,308605,,Music Building/Room 32,Temporary Exhibit,31-May-13,,Purchase,,1996,Victoria University of Wellington Art Collection,
VUW.1984.2,Paul Beadle,The Doctor,Figurative - Maoritanga,,,VUW Art,308455,Victoria University of Wellington Art Collection,Art Building/Room 35,Temporary Storage,7-Aug-14,,,,,Victoria University of Wellington Art Collection,
VUW.1989.5,Robyn E. Kenealy,The Shoe Series,"Maoritanga - two unstretched panels with abstracted figure and text, headed by wooden lintel",,,VUW Art,308456,Victoria University of Wellington Art Collection,Music Building/Room 49,Temporary Exhibit,12-Apr-13,,,,,Victoria University of Wellington Art Collection Gift of Mr M L Boyd,
VUW.1970.3,Margery Blackman,Girl with a Kitten,Figurative - people standing around prostrate body of woman,,,VUW Art,308457,,Science Building/Room 19,Usual Location,9-Nov-00,,,,,Victoria University of Wellington Art Collection,
VUW.1976.4,Margery Blackman,The Sick Child,Abstract geometric - concentric circles of geometric shapes,,,VUW Art,308458,,Science Building/Room 38,Temporary Exhibit,3-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1980.2,Margery Blackman,"Nameless and Friendless. ""The rich man's wealth is his strong city, etc."" - Proverbs, x, 15",Figurative - 16 part polyptych - aluminium cutouts,,,VUW Art,308459,Victoria University of Wellington Art Collection,Music Building/Room 47,Temporary Exhibit,10-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1988.2,Manos Nathan,The Girlhood of Mary Virgin,Abstract landscape - on handmade paper,,,School of Music/VUW Art,308460,,Music Building/Room 16,Temporary Storage,22-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1983.3,Emily Schuster,'Everything is connected in life...',Abstracted nature - triptych of aspodels,,,VUW Art,308461,,Philosophy Building/Room 11,Usual Location,30-Jun-05,,,,,Victoria University of Wellington Art Collection,
VUW.1961.2,Richard Parker,Leigh Bowery,"Landscape - house in background deep in forest, old wooden cream stand in foreground, child in bottom left",,,VUW Art,308462,,Philosophy Building/Room 35,Framing,13-Jan-11,,,,,Victoria University of Wellington Art Collection,
VUW.1974.3,Mary Elizabeth Tripe,Cubi XIX,"Figurative - two elderly women in pink, knitting and sewing",,,VUW Art,308463,Victoria University of Wellington Art Collection,Science Building/Room 22,Usual Location,11-Nov-04,,,,,Victoria University of Wellington Art Collection,
VUW.1965.2,Shona McFarlane,In the House of My Father,Abstracted landscape - greens and oranges,,,VUW Art,308465,,Science Building/Room 41,Usual Location,19-Nov-03,,,,,Victoria University of Wellington Art Collection,
VUW.1959.1,Bianca van Rangelrooy,Mr and Mrs Clark and Percy,Figurative sculpture - boy holding baby,,,VUW Art,308631,,Art Building/Room 47,Usual Location,30-Oct-00,,,,,Victoria University of Wellington Art Collection,
VUW.1972.1,James Greig,Fishermen at Sea,Landscape and text - I AM - 7 panels,,,VUW Art,308466,,Art Building/Room 0,External Conservation,9-Dec-14,,,,,Victoria University of Wellington Art Collection,
VUW.1968.1,James Greig,Felix in Exile,Landscape and text - AGNUS DEI / DONNA NOBIS PACEM (translation: Lamb of God/ Grant us peace),,,VUW Art,308468,Victoria University of Wellington Art Collection,Art Building/Room 13,Temporary Exhibit,14-Oct-15,,,,,"Victoria University of Wellington Art Collection, purchased 1968",
VUW.1962.3,James Greig,Philip Glass and Robert Wilson,Landscape - tiers of flat hills,,"669 x 816mm (2' 2 5/16"" x 2' 8 1/8""), 836 x 983 x 45mm",VUW Art,308469,,Art Building/Room 19,Usual Location,25-Aug-08,,,,,Victoria University of Wellington Art Collection,
VUW.1971.3,Richard Killeen,Three Seascapes,Landscape - pathway in gardens lined with seats and fence.  Pergola in background.,,,VUW Art,308470,,Science Building/Room 46,Temporary Storage,22-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1971.4,Richard Killeen,Dadaville,Landscape - hill dominates image,,,VUW Art,308471,Victoria University of Wellington Art Collection,Philosophy Building/Room 41,Temporary Storage,12-Mar-12,,,,,Victoria University of Wellington Art Collection,
VUW.1971.5,Richard Killeen,Titania and Bottom,"Seascape - low horizon, sunset clouds fill picture plane",,,VUW Art,308472,Victoria University of Wellington Art Collection,Art Building/Room 12,Permanent Exhibit,22-May-12,,Donation,,1967,Victoria University of Wellington Art Collection Gift of Frank E Taplin,
VUW.1962.4,Maureen Lander,Nude in the Bath,"Still life - white jug on left, green and yellow background",,,VUW Art,308474,,Art Building/Room 29,Usual Location,9-Jun-05,,,,,Victoria University of Wellington Art Collection,
VUW.1992.2,Chris Bailey,The Girl at the Gate,Figurative - figures barely perceptible in bush,,,VUW Art,308475,,Philosophy Building/Room 2,Temporary Storage,4-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1978.2,Christine Hellyar,La Belle Iseult,Abstract - splattered and dribbled paint,,,VUW Art,308476,Victoria University of Wellington Art Collection,Art Building/Room 17,Temporary Storage,16-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1980.3,Peter Siddell,Recumbent Figure,Abstracted still life - greens and blues predominate,,,VUW Art,308477,,Philosophy Building/Room 1,Temporary Storage,3-Feb-12,,,,,Victoria University of Wellington Art Collection,
VUW.1987.3,Emily Siddell,"Composition C (No.III) with Red, Yellow and Blue",Landscape - pathway bordered by flowers and plants (diptych),,,VUW Art,308478,Victoria University of Wellington Art Collection,Philosophy Building/Room 28,Temporary Exhibit,14-Oct-15,,,,,Victoria University of Wellington Art Collection,
VUW.1975.3,Kohai Grace,A Bigger Splash,Figurative - woman in red dressing gown revealing herself.  Bed in background.,,,VUW Art,308479,,Art Building/Room 44,Temporary Storage,14-Jan-14,,,,,Victoria University of Wellington Art Collection,
VUW.1986.5.1-6,Richard Killeen,"Providence, Rhode Island, 1976",Figurative - six costume designs on figures,,,VUW Art,308480,,Art Building/Room 39,Usual Location,5-Jul-04,,,,,Victoria University of Wellington Art Collection,
VUW.1972.2,Lyonel Grant,The Battle of Orgreave Archive (An Injury to One is an Injury to All),Geometric abstraction - grey field with strip of 5 coloured squares along top edge,,,VUW Art,308481,,Art Building/Room 17,Temporary Exhibit,21-Aug-14,,,,,Victoria University of Wellington Art Collection,
VUW.1981.6,Chris Bailey,Sun Setting over a Lake,Landscape - golden landscape with orange and blue divisions.  Sheep in foreground.,,,VUW Art,308482,,Music Building/Room 40,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington Art Collection Gift of Dr and Mrs D.B.C. Taylor,
VUW.1971.6,James Nairn,Grey Tube Shelter,"Abstract - predominantly blue lines and thinner black lines, with pink in centre",,,VUW Art,308487,,Philosophy Building/Room 0,Permanent Exhibit,12-Jun-03,,,,,Victoria University of Wellington Art Collection,
VUW.1980.4,Suzanne Tamaki,"Cairo, the Citadel: Mohammed Ali Mosque",Figurative - image divided into 9 squares forming profile of woman's torso (no face),,,VUW Art,308488,Victoria University of Wellington Art Collection,Music Building/Room 25,Temporary Storage,22-Dec-11,,,,,Victoria University of Wellington Art Collection Gift of R.S.V. Simpson,
VUW.1960.2,Steve Fullmer,Mobile,"Landscape - slightly faceted landscape - golden fields with farm buildings in foreground, and blue/green hills in background",,,VUW Art,308489,,Art Building/Room 34,Temporary Storage,29-Aug-13,,,,,Victoria University of Wellington Art Collection,
VUW.1988.3,Charles Fell,Britain Seen from the North,Abstract relief sculpture - grey relief with rounded top edge,,,VUW Art,308490,,Art Building/Room 48,Temporary Storage,5-Nov-03,,,,,Victoria University of Wellington Art Collection,
VUW.1986.6,Alfred Sharpe,An Oak Tree,Abstract - 12 red squares with grey seeping through the left and bottom edges,,,VUW Art,308491,,Art Building/Room 2,Temporary Exhibit,23-Sep-10,,,,,Victoria University of Wellington Art Collection,
VUW.1961.3,Horatio Gordon Robley,The Snack Bar,"Land and city scape - St Peter's church dominates foreground, harbour and Eastbourne hills in background",,,VUW Art,308493,Victoria University of Wellington Art Collection,Art Building/Room 44,Temporary Exhibit,10-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1989.6,Christine Boswijk,Girl with a White Dog,,,,VUW Art,308494,Victoria University of Wellington Art Collection,Philosophy Building/Room 16,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington Art Collection,
VUW.1990.1,Christine Boswijk,Studland Beach. Verso: Group of Male Nudes by Duncan Grant,Cityscape - painting of tall buildings framed by ceramic tiles on left and right edges - in a steel frame,,,VUW Art,308495,,Music Building/Room 36,Usual Location,7-Nov-00,,,,,Victoria University of Wellington Art Collection,
VUW.1983.4,Emily Cumming Harris,Sculpture to be Lost in the Forest,"Abstracted seascape - predominantly grey, with red horizon line",,,VUW Art,308496,,Music Building/Room 33,Temporary Storage,20-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1956.1,G. P. Nerli,Early One Morning,Landscape - pink flowering tree,,,VUW Art,308497,,Philosophy Building/Room 47,Temporary Storage,22-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1983.5,Laurence Aberhart,Sculpture,Landscape - bend in the river flowing past cliffs,,,VUW Art,308499,Victoria University of Wellington Art Collection,Art Building/Room 29,Temporary Storage,22-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1983.6,Laurence Aberhart,Fuck You Eddy,Landscape - black ink drawing of a stairway ascending through garden,,,VUW Art,308500,Victoria University of Wellington Art Collection,Science Building/Room 1,Temporary Storage,9-Nov-12,,,,,Victoria University of Wellington Art Collection,
VUW.1962.5,Emily Cumming Harris,La Mitrailleuse,Abstract - predominantly blue and black with central white elements,,,VUW Art,308504,,Music Building/Room 21,Temporary Exhibit,26-Aug-10,,,,,Victoria University of Wellington Art Collection,
VUW.1980.5,Emily Cumming Harris,Untitled,Abstract wall relief - stitched and pleated red acrylic dyed cotton canvas,,,VUW Art,308502,,Science Building/Room 1,Temporary Exhibit,13-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1967.1,Emily Cumming Harris,The Autobiography of an Embryo,Formal Geometric Abstraction - red ground with six fine pale lines (in pairs),,,VUW Art,308503,,Music Building/Room 4,Conservation,27-Jan-12,,,,,Victoria University of Wellington Art Collection,
VUW.1960.3,Emily Cumming Harris,Nantes Triptych,Abstract - predominantly blue and black with white elements top and bottom,,,VUW Art,308505,,Science Building/Room 17,Temporary Exhibit,26-Aug-10,,,,,Victoria University of Wellington Art Collection Gift of Professor Douglas Lilburn,
VUW.1997.1,Judy McIntosh Wilson,Sunrise with Sea Monsters,Still life - enlarged image of a shell,,,VUW Art,308612,Victoria University of Wellington Art Collection,Philosophy Building/Room 24,Temporary Exhibit,3-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1997.2,Judy McIntosh Wilson,Speak! Speak!,Landscape - camera angle above showing tree within triangular curb,,,VUW Art,308613,,Science Building/Room 24,Permanent Exhibit,16-Mar-10,,,,,Victoria University of Wellington Art Collection,
VUW.1974.4,Indira Neville,Landscape from a Dream,"Figurative - man in foreground, two figures in right background",,,VUW Art,308506,,Art Building/Room 16,Temporary Storage,22-Jul-10,,Dealer/Purchase,,Mar-74,Victoria University of Wellington Art Collection,
VUW.1988.4,Levi Borgstrom,Untitled No. 8 (Shattered Glass),Abstract - black and ochre symbols float on white picture plane,,,VUW Art,308507,,Science Building/Room 19,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington Art Collection,
VUW.1992.3,Charles Blomfield,"Carnation, Lily, Lily, Rose",Symbolic and figurative - Niuean symbols and figures,,,VUW Art,308508,Victoria University of Wellington Art Collection,Philosophy Building/Room 6,Temporary Storage,13-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1987.4,John Crichton,Untitled,Figurative - pinkish woman's torso in centre against black and white spotted background,,,VUW Art,308509,,Philosophy Building/Room 5,Temporary Exhibit,15-Mar-01,,,,,Victoria University of Wellington Art Collection,
VUW.1974.5,Karl Fritsch,The Kiss,"Figurative - girl seated on red stairs, bannister on left, glass window in background",,,VUW Art,308510,,Music Building/Room 34,Temporary Storage,22-Jul-10,,,,,Victoria University of Wellington Art Collection,
